Namespace(batch_size=512, dataset='CMAPSS/FD002', dump_dir='dump/CMAPSS/FD002/min-max/bayesian_conv5_dense1/bayesian_conv5_dense1_1.00/bayesian_conv5_dense1_1.00_2', model='bayesian_conv5_dense1', model_path='log/CMAPSS/FD002/min-max/bayesian_conv5_dense1/bayesian_conv5_dense1_1.00/bayesian_conv5_dense1_1.00_2/checkpoint.pth.tar', normalization='min-max', num_mc=150)
pid: 4339
use_cuda: True
Dataset: CMAPSS/FD002
Restoring BayesianConv5Dense1...
Done.
**** start time: 2019-10-01 01:31:39.392683 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
    BayesianConv2d-1           [-1, 10, 21, 24]             200
           Sigmoid-2           [-1, 10, 21, 24]               0
    BayesianConv2d-3           [-1, 10, 20, 24]           2,000
           Sigmoid-4           [-1, 10, 20, 24]               0
    BayesianConv2d-5           [-1, 10, 21, 24]           2,000
           Sigmoid-6           [-1, 10, 21, 24]               0
    BayesianConv2d-7           [-1, 10, 20, 24]           2,000
           Sigmoid-8           [-1, 10, 20, 24]               0
    BayesianConv2d-9            [-1, 1, 20, 24]              60
         Softplus-10            [-1, 1, 20, 24]               0
          Flatten-11                  [-1, 480]               0
   BayesianLinear-12                  [-1, 100]          96,000
         Softplus-13                  [-1, 100]               0
   BayesianLinear-14                    [-1, 1]             200
         Softplus-15                    [-1, 1]               0
================================================================
Total params: 102,460
Trainable params: 102,460
Non-trainable params: 0
________________________________________________________________
2019-10-01 01:31:39.410204
ground truth | pred +/- std:
18.00 | 9.91 +/- 0.85
97.00 | 86.15 +/- 0.80
97.00 | 91.04 +/- 0.84
151.00 | 126.23 +/- 0.62
148.00 | 107.12 +/- 0.88
94.00 | 106.06 +/- 0.87
56.00 | 70.84 +/- 0.90
134.00 | 106.61 +/- 0.77
35.00 | 56.60 +/- 1.25
120.00 | 107.65 +/- 0.76
23.00 | 29.08 +/- 0.61
101.00 | 95.46 +/- 0.83
79.00 | 72.90 +/- 0.92
13.00 | 11.89 +/- 1.71
55.00 | 66.41 +/- 0.98
39.00 | 44.00 +/- 0.72
13.00 | 27.19 +/- 1.68
39.00 | 73.20 +/- 1.11
79.00 | 102.53 +/- 0.86
43.00 | 59.86 +/- 0.71
14.00 | 0.46 +/- 0.45
97.00 | 72.00 +/- 1.13
59.00 | 109.79 +/- 0.68
14.00 | 17.04 +/- 0.87
108.00 | 98.69 +/- 0.75
8.00 | 0.00 +/- 0.00
99.00 | 95.54 +/- 0.61
10.00 | 0.00 +/- 0.00
43.00 | 62.20 +/- 0.98
8.00 | 0.00 +/- 0.00
78.00 | 81.96 +/- 0.85
57.00 | 80.07 +/- 0.75
134.00 | 126.22 +/- 0.54
110.00 | 68.71 +/- 0.90
142.00 | 117.70 +/- 0.63
180.00 | 113.23 +/- 0.77
161.00 | 95.44 +/- 0.70
126.00 | 80.32 +/- 0.75
167.00 | 151.18 +/- 0.69
192.00 | 122.01 +/- 0.77
115.00 | 104.81 +/- 0.91
75.00 | 109.93 +/- 0.70
