Namespace(batch_size=512, dataset='CMAPSS/FD001', dump_dir='dump/CMAPSS/FD001/min-max/bayesian_conv2_pool2/bayesian_conv2_pool2_1', model='bayesian_conv2_pool2', model_path='log/CMAPSS/FD001/min-max/bayesian_conv2_pool2/bayesian_conv2_pool2_1/checkpoint.pth.tar', normalization='min-max', num_mc=150)
pid: 28918
use_cuda: True
Dataset: CMAPSS/FD001
Restoring BayesianConv2Pool2...
Done.
**** start time: 2019-09-27 14:44:19.983533 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
    BayesianConv2d-1             [-1, 8, 26, 1]           1,120
           Sigmoid-2             [-1, 8, 26, 1]               0
         AvgPool2d-3             [-1, 8, 13, 1]               0
    BayesianConv2d-4            [-1, 14, 12, 1]             448
           Sigmoid-5            [-1, 14, 12, 1]               0
         AvgPool2d-6             [-1, 14, 6, 1]               0
           Flatten-7                   [-1, 84]               0
    BayesianLinear-8                    [-1, 1]             168
          Softplus-9                    [-1, 1]               0
================================================================
Total params: 1,736
Trainable params: 1,736
Non-trainable params: 0
________________________________________________________________
2019-09-27 14:44:19.993309
ground truth | pred +/- std:
77.00 | 109.67 +/- 2.04
57.00 | 102.93 +/- 2.10
124.00 | 98.85 +/- 2.32
90.00 | 83.10 +/- 2.08
93.00 | 102.11 +/- 2.42
37.00 | 69.80 +/- 1.87
28.00 | 34.25 +/- 1.72
91.00 | 91.67 +/- 2.25
113.00 | 109.99 +/- 2.26
58.00 | 71.05 +/- 1.92
84.00 | 112.65 +/- 2.31
20.00 | 28.68 +/- 1.82
142.00 | 112.77 +/- 2.24
126.00 | 96.32 +/- 2.20
11.00 | 25.76 +/- 1.97
114.00 | 59.77 +/- 2.18
69.00 | 62.06 +/- 2.21
26.00 | 34.95 +/- 1.93
137.00 | 112.45 +/- 2.51
28.00 | 33.45 +/- 1.89
21.00 | 34.04 +/- 1.91
9.00 | 34.45 +/- 1.91
50.00 | 87.94 +/- 2.19
135.00 | 108.68 +/- 2.25
97.00 | 109.16 +/- 2.05
96.00 | 97.70 +/- 2.19
89.00 | 92.59 +/- 2.18
79.00 | 106.32 +/- 2.15
20.00 | 30.20 +/- 1.91
18.00 | 89.00 +/- 2.10
111.00 | 104.45 +/- 2.17
90.00 | 93.71 +/- 2.15
114.00 | 105.25 +/- 2.20
111.00 | 112.28 +/- 2.29
103.00 | 95.33 +/- 2.14
119.00 | 112.23 +/- 2.67
82.00 | 107.55 +/- 2.35
59.00 | 77.11 +/- 2.02
82.00 | 80.93 +/- 2.01
115.00 | 86.63 +/- 1.83
106.00 | 81.60 +/- 2.18
50.00 | 51.35 +/- 2.07
19.00 | 29.16 +/- 1.94
94.00 | 94.76 +/- 2.24
63.00 | 110.84 +/- 2.29
97.00 | 104.21 +/- 2.14
145.00 | 111.01 +/- 2.39
83.00 | 112.67 +/- 2.42
128.00 | 112.66 +/- 2.37
10.00 | 55.30 +/- 1.92
95.00 | 96.71 +/- 2.27
21.00 | 81.45 +/- 1.92
72.00 | 93.43 +/- 1.94
115.00 | 105.85 +/- 2.43
91.00 | 106.82 +/- 2.08
54.00 | 44.27 +/- 1.86
66.00 | 111.12 +/- 2.27
8.00 | 25.43 +/- 1.80
92.00 | 98.84 +/- 2.14
47.00 | 33.64 +/- 1.95
137.00 | 111.30 +/- 2.23
7.00 | 28.10 +/- 1.98
8.00 | 25.74 +/- 2.12
118.00 | 110.96 +/- 2.38
85.00 | 32.08 +/- 1.88
107.00 | 114.34 +/- 2.23
109.00 | 105.33 +/- 2.11
121.00 | 112.78 +/- 2.47
14.00 | 26.89 +/- 2.11
113.00 | 114.17 +/- 2.07
38.00 | 39.95 +/- 2.19
100.00 | 100.22 +/- 2.32
55.00 | 59.44 +/- 1.95
136.00 | 100.28 +/- 2.33
117.00 | 113.32 +/- 2.19
28.00 | 73.30 +/- 2.11
118.00 | 107.33 +/- 2.39
97.00 | 94.41 +/- 2.02
137.00 | 108.16 +/- 2.34
50.00 | 36.57 +/- 1.80
16.00 | 29.24 +/- 1.94
21.00 | 34.12 +/- 2.05
112.00 | 113.74 +/- 2.48
34.00 | 72.64 +/- 2.10
95.00 | 103.63 +/- 2.35
131.00 | 112.38 +/- 2.21
10.00 | 25.44 +/- 2.16
107.00 | 112.22 +/- 2.30
8.00 | 25.51 +/- 1.91
29.00 | 45.09 +/- 1.97
116.00 | 114.18 +/- 2.36
15.00 | 35.78 +/- 1.92
59.00 | 78.27 +/- 1.89
98.00 | 106.39 +/- 2.35
128.00 | 114.10 +/- 2.42
20.00 | 39.92 +/- 1.95
114.00 | 113.67 +/- 2.29
28.00 | 54.81 +/- 2.21
48.00 | 60.35 +/- 1.96
87.00 | 112.63 +/- 2.22
eval mean loss: 262.28
eval rmse: 22.90
eval mae: 17.42
eval score: 2700.04
epistemic: 4.61
epoch: 249
ground truth std: 41.56
pred std: 31.93
eval time: 0:00:01.986857
**** end time: 2019-09-27 14:44:21.988131 ****
