Namespace(batch_size=512, dataset='CMAPSS/FD003', dump_dir='dump/CMAPSS/FD003/min-max/frequentist_dense3/frequentist_dense3_5', model='frequentist_dense3', model_path='log/CMAPSS/FD003/min-max/frequentist_dense3/frequentist_dense3_5/checkpoint.pth.tar', normalization='min-max', num_mc=1)
pid: 8437
use_cuda: True
Dataset: CMAPSS/FD003
Restoring FrequentistDense3...
Done.
**** start time: 2019-10-01 02:06:28.061587 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
           Flatten-1                  [-1, 420]               0
            Linear-2                  [-1, 100]          42,000
           Sigmoid-3                  [-1, 100]               0
            Linear-4                  [-1, 100]          10,000
           Sigmoid-5                  [-1, 100]               0
            Linear-6                  [-1, 100]          10,000
           Sigmoid-7                  [-1, 100]               0
            Linear-8                    [-1, 1]             100
================================================================
Total params: 62,100
Trainable params: 62,100
Non-trainable params: 0
________________________________________________________________
2019-10-01 02:06:28.064702
ground truth | pred +/- std:
67.00 | 64.05 +/- 0.00
115.00 | 125.37 +/- 0.00
93.00 | 88.91 +/- 0.00
123.00 | 125.37 +/- 0.00
8.00 | 6.47 +/- 0.00
86.00 | 76.46 +/- 0.00
128.00 | 110.94 +/- 0.00
40.00 | 42.39 +/- 0.00
71.00 | 95.74 +/- 0.00
58.00 | 53.20 +/- 0.00
128.00 | 119.13 +/- 0.00
65.00 | 115.02 +/- 0.00
51.00 | 58.04 +/- 0.00
27.00 | 26.96 +/- 0.00
124.00 | 118.87 +/- 0.00
120.00 | 116.95 +/- 0.00
137.00 | 121.78 +/- 0.00
99.00 | 102.93 +/- 0.00
20.00 | 22.42 +/- 0.00
11.00 | 18.17 +/- 0.00
45.00 | 47.79 +/- 0.00
115.00 | 119.65 +/- 0.00
115.00 | 108.62 +/- 0.00
89.00 | 83.30 +/- 0.00
63.00 | 70.37 +/- 0.00
44.00 | 43.02 +/- 0.00
66.00 | 72.91 +/- 0.00
81.00 | 98.21 +/- 0.00
144.00 | 124.64 +/- 0.00
137.00 | 120.48 +/- 0.00
88.00 | 99.33 +/- 0.00
100.00 | 122.47 +/- 0.00
69.00 | 81.00 +/- 0.00
145.00 | 124.05 +/- 0.00
92.00 | 114.19 +/- 0.00
78.00 | 69.46 +/- 0.00
18.00 | 15.76 +/- 0.00
56.00 | 54.18 +/- 0.00
129.00 | 125.59 +/- 0.00
115.00 | 115.26 +/- 0.00
117.00 | 122.62 +/- 0.00
120.00 | 123.55 +/- 0.00
41.00 | 40.49 +/- 0.00
133.00 | 125.62 +/- 0.00
41.00 | 48.46 +/- 0.00
6.00 | 6.53 +/- 0.00
7.00 | 10.14 +/- 0.00
18.00 | 21.30 +/- 0.00
51.00 | 55.21 +/- 0.00
55.00 | 57.21 +/- 0.00
71.00 | 50.30 +/- 0.00
101.00 | 117.08 +/- 0.00
58.00 | 45.24 +/- 0.00
31.00 | 30.88 +/- 0.00
79.00 | 92.44 +/- 0.00
9.00 | 10.90 +/- 0.00
17.00 | 16.95 +/- 0.00
111.00 | 123.76 +/- 0.00
49.00 | 49.24 +/- 0.00
56.00 | 91.60 +/- 0.00
104.00 | 106.54 +/- 0.00
113.00 | 96.17 +/- 0.00
135.00 | 99.43 +/- 0.00
117.00 | 122.27 +/- 0.00
87.00 | 106.72 +/- 0.00
15.00 | 16.10 +/- 0.00
25.00 | 24.91 +/- 0.00
55.00 | 59.74 +/- 0.00
131.00 | 120.35 +/- 0.00
55.00 | 46.76 +/- 0.00
45.00 | 47.89 +/- 0.00
11.00 | 9.24 +/- 0.00
103.00 | 80.03 +/- 0.00
77.00 | 64.59 +/- 0.00
55.00 | 60.36 +/- 0.00
10.00 | 5.97 +/- 0.00
56.00 | 51.36 +/- 0.00
127.00 | 111.05 +/- 0.00
14.00 | 11.58 +/- 0.00
68.00 | 57.22 +/- 0.00
88.00 | 115.63 +/- 0.00
87.00 | 122.32 +/- 0.00
8.00 | 6.98 +/- 0.00
22.00 | 31.07 +/- 0.00
55.00 | 49.66 +/- 0.00
87.00 | 111.98 +/- 0.00
85.00 | 119.24 +/- 0.00
78.00 | 86.29 +/- 0.00
108.00 | 121.98 +/- 0.00
144.00 | 122.83 +/- 0.00
119.00 | 123.33 +/- 0.00
99.00 | 119.50 +/- 0.00
145.00 | 122.24 +/- 0.00
87.00 | 109.31 +/- 0.00
28.00 | 26.53 +/- 0.00
136.00 | 116.61 +/- 0.00
27.00 | 34.84 +/- 0.00
132.00 | 120.82 +/- 0.00
28.00 | 22.17 +/- 0.00
35.00 | 33.01 +/- 0.00
eval mean loss: 98.74
eval rmse: 14.05
eval mae: 10.14
eval score: 434.34
epistemic: 0.00
epoch: 249
ground truth std: 41.40
pred std: 40.57
eval time: 0:00:01.452353
**** end time: 2019-10-01 02:06:29.517250 ****
