Namespace(batch_size=512, dataset='CMAPSS/FD002', dump_dir='dump/CMAPSS/FD002/min-max/bayesian_dense3/bayesian_dense3_5', model='bayesian_dense3', model_path='log/CMAPSS/FD002/min-max/bayesian_dense3/bayesian_dense3_5/checkpoint.pth.tar', normalization='min-max', num_mc=150)
pid: 5648
use_cuda: True
Dataset: CMAPSS/FD002
Restoring BayesianDense3...
Done.
**** start time: 2019-10-01 01:45:59.947607 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
           Flatten-1                  [-1, 480]               0
    BayesianLinear-2                  [-1, 100]          96,000
           Sigmoid-3                  [-1, 100]               0
    BayesianLinear-4                  [-1, 100]          20,000
           Sigmoid-5                  [-1, 100]               0
    BayesianLinear-6                  [-1, 100]          20,000
           Sigmoid-7                  [-1, 100]               0
    BayesianLinear-8                    [-1, 1]             200
          Softplus-9                    [-1, 1]               0
================================================================
Total params: 136,200
Trainable params: 136,200
Non-trainable params: 0
________________________________________________________________
2019-10-01 01:45:59.956784
ground truth | pred +/- std:
18.00 | 5.15 +/- 0.27
97.00 | 110.76 +/- 0.50
97.00 | 65.03 +/- 0.85
151.00 | 121.89 +/- 0.27
148.00 | 117.24 +/- 0.29
94.00 | 80.06 +/- 1.10
56.00 | 52.55 +/- 0.34
134.00 | 106.61 +/- 0.63
35.00 | 101.48 +/- 0.87
120.00 | 119.20 +/- 0.27
23.00 | 27.26 +/- 0.32
101.00 | 103.14 +/- 0.72
79.00 | 67.09 +/- 1.20
13.00 | 17.22 +/- 0.40
55.00 | 49.92 +/- 0.34
39.00 | 15.93 +/- 0.38
13.00 | 40.46 +/- 0.45
39.00 | 108.66 +/- 0.43
79.00 | 98.18 +/- 0.97
43.00 | 57.57 +/- 0.40
14.00 | 21.75 +/- 0.29
97.00 | 56.70 +/- 0.46
59.00 | 118.04 +/- 0.29
14.00 | 11.94 +/- 0.23
108.00 | 80.92 +/- 1.11
8.00 | 12.73 +/- 0.30
99.00 | 101.46 +/- 1.57
10.00 | 7.57 +/- 0.27
43.00 | 57.64 +/- 1.07
8.00 | 12.80 +/- 0.31
78.00 | 54.21 +/- 0.34
57.00 | 78.02 +/- 1.30
134.00 | 124.69 +/- 0.26
110.00 | 54.15 +/- 0.79
142.00 | 115.66 +/- 0.31
180.00 | 75.21 +/- 1.56
161.00 | 108.34 +/- 0.82
126.00 | 78.06 +/- 0.97
167.00 | 119.68 +/- 0.28
192.00 | 112.39 +/- 0.29
115.00 | 118.93 +/- 0.27
75.00 | 112.61 +/- 0.31
88.00 | 112.20 +/- 0.30
142.00 | 117.33 +/- 0.28
63.00 | 108.69 +/- 0.50
37.00 | 20.16 +/- 0.37
86.00 | 115.38 +/- 0.30
122.00 | 119.91 +/- 0.25
19.00 | 9.62 +/- 0.33
80.00 | 51.56 +/- 0.27
188.00 | 116.64 +/- 0.26
155.00 | 116.45 +/- 0.25
155.00 | 114.75 +/- 0.33
14.00 | 13.33 +/- 0.24
111.00 | 119.68 +/- 0.28
116.00 | 119.25 +/- 0.32
120.00 | 99.68 +/- 1.20
152.00 | 123.93 +/- 0.25
98.00 | 115.16 +/- 0.45
139.00 | 114.47 +/- 0.39
53.00 | 33.75 +/- 0.56
48.00 | 43.11 +/- 0.39
173.00 | 116.78 +/- 0.27
13.00 | 16.30 +/- 0.34
55.00 | 42.51 +/- 0.49
34.00 | 27.43 +/- 0.39
141.00 | 117.98 +/- 0.37
14.00 | 10.92 +/- 0.32
17.00 | 6.47 +/- 0.27
97.00 | 112.04 +/- 0.70
88.00 | 49.61 +/- 0.34
83.00 | 79.93 +/- 1.11
